

This file contains an example of calculations of DCW and endpoint
for SMILES that is inserted in dialog box
O=C(c1ncc(s1)C1CC1)Nc1nccc(n1)n1cnc2c1ccc(c2)C(F)(F)F
Selected threshold is 1

SMILES attribute (SA) : Correlation Weight :   SA defect
          EC0-O...1...:              0.3674:     0.01667
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-N...2...:              0.4820:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-S...2...:              0.3252:     0.00719
          EC0-C...4...:              0.0922:     0.00000
          EC0-C...4...:              0.0922:     0.00000
          EC0-C...4...:              0.0922:     0.00000
          EC0-N...3...:              0.0397:     0.00056
          EC0-C...3...:             -0.5992:     0.00000
          EC0-N...2...:              0.4820:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-N...2...:              0.4820:     0.00000
          EC0-N...3...:              0.0397:     0.00056
          EC0-C...3...:             -0.5992:     0.00000
          EC0-N...2...:              0.4820:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...3...:             -0.5992:     0.00000
          EC0-C...4...:              0.0922:     0.00000
          EC0-F...1...:              0.2292:     1.00000
          EC0-F...1...:              0.2292:     1.00000
          EC0-F...1...:              0.2292:     1.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          EC0-H...1...:             -0.2285:     0.00000
          O...........:              0.0997:     0.00061
          =...........:             -0.0663:     0.01587
          C...........:              0.3781:     0.00000
          (...........:             -0.0247:     0.00000
          c...........:              0.0072:     0.00000
          1...........:              0.4662:     0.00000
          n...........:              0.4715:     0.00000
