

This file contains example of DCW-calculation

SMILES:  Nc1nc(N2CCc3c2cc(Br)cc3)c(Cl)cn1
Set (#):   training +; invisible training -; calibration #
Number of structure 1
CAS  NIK001
Number of Monte Carlo optimization probe 2
Threshold 1
Hydrogen Filled Graph (HFG) is used in the model
SMILES is used in the model

ID is the number of SMILES attribute (SA) in global list of SA
CW(SA) is the correlation weight for SA
NT is the number of SA in training set
NiT is the number of SA in invisible training set
NC is the number of SA in calibration set

 Structural :            :     :     :     :    
  attribute :   CW(SA)   : ID  : NT  : NiT : NC 
    (SA)    :            :     :     :     :    

EC0-N...3...:     -0.1657:  139:   33:   33:   34
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-N...2...:      0.0789:  138:   36:   35:   36
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-N...3...:     -0.1657:  139:   33:   33:   34
EC0-C...4...:      0.1095:  132:   36:   35:   36
EC0-C...4...:      0.1095:  132:   36:   35:   36
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-Br..1...:     -0.5807:  135:    1:    2:    3
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-Cl..4...:      0.1198:  136:    9:    8:   12
EC0-C...3...:     -0.7733:  131:   36:   35:   36
EC0-N...2...:      0.0789:  138:   36:   35:   36
EC0-H...1...:      0.3646:  134:   36:   35:   36
EC0-H...1...:      0.3646:  134:   36:   35:   36
EC0-H...1...:      0.3646:  134:   36:   35:   36
EC0-H...1...:      0.3646:  134:   36:   35:   36
EC0-H...1...:      0.3646:  134:   36:   35:   36
EC0-H...1...:      0.3646:  134:   36:   35:   36
EC0-H...1...:      0.3646:  134:   36:   35:   36
EC0-H...1...:      0.3646:  134:   36:   35:   36
