The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0324: 0.2175: 0.3504:    1.044:    1.084:    0.521
   2: 0.1699: 0.1745: 0.5905:    0.967:    1.045:    0.392
   3: 0.2109: 0.2172: 0.6449:    0.943:    1.019:    0.363
   4: 0.2180: 0.2780: 0.7105:    0.938:    0.994:    0.334
   5: 0.2539: 0.3091: 0.7679:    0.916:    0.973:    0.302
   6: 0.2959: 0.3261: 0.7858:    0.890:    0.956:    0.286
   7: 0.3103: 0.3456: 0.8086:    0.881:    0.943:    0.271
   8: 0.3354: 0.3732: 0.8205:    0.865:    0.927:    0.262
   9: 0.3547: 0.3693: 0.8213:    0.852:    0.924:    0.259
  10: 0.3585: 0.3722: 0.8289:    0.850:    0.923:    0.253
  11: 0.3734: 0.3879: 0.8268:    0.840:    0.915:    0.253
  12: 0.3899: 0.3881: 0.8400:    0.829:    0.912:    0.243
  13: 0.3914: 0.3970: 0.8361:    0.828:    0.907:    0.245
  14: 0.3942: 0.4018: 0.8357:    0.826:    0.903:    0.246
  15: 0.3930: 0.4088: 0.8346:    0.827:    0.900:    0.247
  16: 0.3941: 0.4164: 0.8319:    0.826:    0.896:    0.249
  17: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  18: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  19: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  20: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  21: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  22: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  23: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  24: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  25: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  26: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  27: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  28: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  29: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  30: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
  31: 0.3972: 0.4140: 0.8317:    0.824:    0.896:    0.248
